"(Intercept)"	"B_S.category1"	"treats.perm1"	"treats.perm2"	"B_S.category1:treats.perm1"	"B_S.category1:treats.perm2"
"Sample_L0B1-100"	0.892561983442345	-0.0317773295612258	-0.107244156767066	0	-0.0552820312917873	0
"Sample_L0B2-100"	0.881995883820344	-0.036911859810358	-0.120900075796171	0	-0.0600951633959113	0
"Sample_L0B3-100"	0.890667511132005	-0.0507759689305693	-0.102283562896309	0	-0.059852604415217	0
"Sample_L0B4-100"	0.910745588889886	-0.0403507648606195	-0.1031525390161	0	-0.0594001455490178	0
"Sample_L0B5-100"	0.896772030681776	-0.0373943083543999	-0.107625539592135	0	-0.0649095080947529	0
"Sample_L0S1-100"	0.869699291643324	-0.0191332009864171	-0.0813815126918761	0	-0.0689061841577917	0
"Sample_L0S2-100"	0.890483959801085	-0.0280466540708561	-0.11560507057026	0	-0.0789986024802533	0
"Sample_L0S3-100"	0.897109735190628	-0.0364549827928988	-0.110973205889693	0	-0.0774737540489897	0
"Sample_L0S4-100"	0.914775661461022	-0.0320152099030718	-0.114510995755127	0	-0.0437689875361839	0
"Sample_L0S5-100"	0.894410694410884	-0.0446244853343427	-0.0927559788902536	0	-0.0476121681418956	0
"Sample_L1B1-100"	0.893981773920136	-0.0382711593001022	0	-0.108081035191597	0	-0.0610453089185769
"Sample_L1B2-100"	0.864570634866681	-0.0348244297094498	0	-0.135382294968494	0	-0.0721042406229509
"Sample_L1B3-100"	0.915261421069179	-0.0482977188824655	0	-0.0916442624028889	0	-0.0870265564190112
"Sample_L1B4-100"	0.886325415713464	-0.0478781180118493	0	-0.105590450747621	0	-0.0944030563767339
"Sample_L1B5-100"	0.858304959778221	-0.0375980918066701	0	-0.121989007493559	0	-0.0840777987312103
"Sample_L1S1-100"	0.906962585357726	-0.0410477116728511	0	-0.100325038271298	0	-0.0660327868914822
"Sample_L1S2-100"	0.857667514200985	-0.065514308520336	0	-0.107601209191511	0	-0.0407663191708404
"Sample_L1S3-100"	0.871968587453165	-0.0381882073929916	0	-0.144880026540487	0	-0.0406293012513328
"Sample_L1S4-100"	0.936450832396753	-0.0366824135020362	0	-0.0726666747067529	0	-0.0674068939921262
"Sample_L1S5-100"	0.906737663084009	-0.0490613231374706	0	-0.115292969689041	0	-0.0769331036975231
"Sample_L2B1-100"	0.946774005096925	-0.0456343170072449	-0.0287955859860138	-0.0375906559120722	-0.0355906448573668	-0.0321890017278852
"Sample_L2B2-100"	0.940789161769439	-0.049865386831608	-0.0343244741529261	-0.0392712212761016	-0.0388852432116753	-0.029925769877149
"Sample_L2B3-100"	0.966666666666667	-0.0333333333333334	-0.0333333333333333	-0.0333333333333333	-0.0333333333333333	-0.0333333333333334
"Sample_L2B4-100"	0.951753541111232	-0.0338253094456178	-0.0265855090098365	-0.0322568733099897	-0.0278051110838381	-0.0380671144297565
"Sample_L2B5-100"	0.931282818663436	-0.0457401142454091	-0.0431445928988409	-0.0116574284729159	-0.0293068582775263	-0.03616248190625
"Sample_L2S1-100"	0.90176888582967	-0.0766322656032088	-0.032861757773001	-0.061410589880722	-0.060551817045523	-0.0544528324671426
"Sample_L2S2-100"	0.935229148531169	-0.0442334983215673	-0.038156254977993	-0.0557868439409017	-0.0508141829115808	-0.0415470377941781
"Sample_L2S3-100"	0.896325689618291	-0.0833229278892477	-0.0685795224555822	-0.0309628933320051	-0.0779152701124732	-0.0410356523411035
"Sample_L2S4-100"	0.910775301901629	-0.0771083639206323	-0.0701140987271425	-0.0433443472194951	-0.0737359871265857	-0.0509493620040187
"Sample_L2S5-100"	0.910070120121008	-0.0684303826633789	-0.0485837164423275	-0.0439030851517563	-0.0570651389230175	-0.0417097832991636
