Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS02030, WP_010886402.1, , 8424.3, 6, 4.29, 0.51, 1.34132
B4U62_RS09345, WP_003245563.1, , 11836.7, 6, 6.03, 0.36, 0.582457
B4U62_RS09360, WP_010886514.1, , 12904.3, 6, 6.57, 0.33, 0.444697
B4U62_RS00335, WP_003243453.1, mfd, 2822.0, 5, 1.44, 1.27, 4.15075
B4U62_RS02035, WP_010886403.1, , 8326.7, 5, 4.24, 0.43, 0.872765
B4U62_RS06445, WP_003232910.1, , 1506.0, 5, 0.77, 2.38, 6.74847
B4U62_RS14040, WP_003246092.1, , 3689.3, 5, 1.88, 0.97, 3.16207
B4U62_RS01935, WP_003234637.1, , 1974.0, 4, 1.00, 1.45, 3.94787
B4U62_RS02480, WP_003246569.1, , 1408.0, 4, 0.72, 2.04, 5.07603
B4U62_RS06860, WP_003245409.1, , 1258.7, 4, 0.64, 2.28, 5.46505
B4U62_RS07155, WP_003245814.1, , 739.3, 4, 0.38, 3.88, 7.38577
B4U62_RS07650, WP_003245873.1, cadA, 1575.0, 4, 0.80, 1.82, 4.69387
B4U62_RS09965, WP_009967356.1, , 5942.3, 4, 3.03, 0.48, 1.026
B4U62_RS14935, WP_004398529.1, spoVB, 1191.7, 4, 0.61, 2.41, 5.65715
B4U62_RS20695, WP_003242515.1, , 1155.0, 4, 0.59, 2.49, 5.76764
B4U62_RS01995, WP_003246242.1, , 1239.0, 3, 0.63, 1.74, 3.63947
B4U62_RS02250, WP_003234459.1, , 1016.0, 3, 0.52, 2.12, 4.15217
B4U62_RS02265, WP_003246720.1, , 632.7, 3, 0.32, 3.40, 5.42989
B4U62_RS02495, WP_003234364.1, , 1060.3, 3, 0.54, 2.03, 4.04059
B4U62_RS02840, WP_119122844.1, , 1901.7, 3, 0.97, 1.13, 2.59638
B4U62_RS04460, WP_010886444.1, , 657.0, 3, 0.33, 3.28, 5.32595
B4U62_RS04995, WP_003245322.1, , 1233.3, 3, 0.63, 1.75, 3.6512
B4U62_RS05245, WP_003233382.1, , 1398.0, 3, 0.71, 1.54, 3.33581
B4U62_RS05435, WP_003233299.1, , 491.0, 3, 0.25, 4.39, 6.13724
B4U62_RS05475, WP_003245015.1, , 1054.3, 3, 0.54, 2.04, 4.05538
B4U62_RS05755, WP_003233171.1, , 980.0, 3, 0.50, 2.20, 4.24702
B4U62_RS06320, WP_003239298.1, , 706.3, 3, 0.36, 3.05, 5.12737
B4U62_RS06710, WP_003245023.1, , 1219.3, 3, 0.62, 1.77, 3.68028
B4U62_RS07480, WP_003232502.1, , 384.3, 3, 0.20, 5.61, 6.83202
B4U62_RS07905, WP_003232362.1, , 1411.0, 3, 0.72, 1.53, 3.31282
B4U62_RS08180, WP_003244778.1, pyc, 2763.3, 3, 1.41, 0.78, 1.78286
B4U62_RS09200, WP_003220998.1, , 716.3, 3, 0.36, 3.01, 5.08894
B4U62_RS09270, WP_003244841.1, mutS, 2116.0, 3, 1.08, 1.02, 2.35333
B4U62_RS09350, WP_010886513.1, , 10591.0, 3, 5.39, 0.20, 0.100134
B4U62_RS09960, WP_009967354.1, , 8407.7, 3, 4.28, 0.26, 0.222914
B4U62_RS09970, WP_003247155.1, , 6017.7, 3, 3.06, 0.36, 0.526061
B4U62_RS10360, WP_004399481.1, , 1539.7, 3, 0.78, 1.40, 3.09813
B4U62_RS10535, WP_004399534.1, , 1575.0, 3, 0.80, 1.37, 3.04304
B4U62_RS12035, WP_003230718.1, , 1619.7, 3, 0.82, 1.33, 2.97541
B4U62_RS12200, WP_003230645.1, , 882.7, 3, 0.45, 2.44, 4.52448
B4U62_RS13435, WP_003230132.1, , 750.0, 3, 0.38, 2.87, 4.96364
B4U62_RS13605, WP_003230068.1, , 384.7, 3, 0.20, 5.60, 6.82905
