# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	448	1788	+							B4U62_00005	1341		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	448	1788	+	AQZ88914.1			chromosomal replication initiator protein DnaA			B4U62_00005	1341	446	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	1977	3113	+							B4U62_00010	1137		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	1977	3113	+	AQZ88915.1			DNA polymerase III subunit beta			B4U62_00010	1137	378	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	3244	3459	+							B4U62_00015	216		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	3244	3459	+	AQZ88916.1			hypothetical protein			B4U62_00015	216	71	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	3475	4587	+							B4U62_00020	1113		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	3475	4587	+	AQZ88917.1			DNA replication and repair protein RecF			B4U62_00020	1113	370	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	4605	4850	+							B4U62_00025	246		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	4605	4850	+	AQZ88918.1			DUF370 domain-containing protein			B4U62_00025	246	81	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	4905	6821	+							B4U62_00030	1917		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	4905	6821	+	AQZ88919.1			DNA gyrase subunit B			B4U62_00030	1917	638	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	7032	9497	+							B4U62_00035	2466		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	7032	9497	+	AQZ88920.1			DNA gyrase subunit A			B4U62_00035	2466	821	
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	9848	11403	+							B4U62_00040	1556		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	9848	11403	+				16S ribosomal RNA			B4U62_00040	1556		
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11502	11578	+							B4U62_00045	77		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11502	11578	+				tRNA-Ile			B4U62_00045	77		anticodon=GAT
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11590	11665	+							B4U62_00050	76		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11590	11665	+				tRNA-Ala			B4U62_00050	76		anticodon=TGC
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11746	14678	+							B4U62_00055	2933		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	11746	14678	+				23S ribosomal RNA			B4U62_00055	2933		
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	14730	14845	+					rrf		B4U62_00060	116		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	14730	14845	+				5S ribosomal RNA	rrf		B4U62_00060	116		
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	14885	15832	-							B4U62_00065	948		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	14885	15832	-	AQZ88921.1			hypothetical protein			B4U62_00065	948	315	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	15953	17419	+							B4U62_00070	1467		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	15953	17419	+	AQZ88922.1			IMP dehydrogenase			B4U62_00070	1467	488	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	17572	18903	+							B4U62_00075	1332		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	17572	18903	+	AQZ88923.1			D-alanyl-D-alanine carboxypeptidase			B4U62_00075	1332	443	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	19100	19984	+							B4U62_00080	885		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	19100	19984	+	AQZ88924.1			pyridoxal 5'-phosphate synthase lyase subunit PdxS			B4U62_00080	885	294	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	20006	20596	+							B4U62_00085	591		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	20006	20596	+	AQZ88925.1			pyridoxal 5'-phosphate synthase glutaminase subunit PdxT			B4U62_00085	591	196	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	20918	22195	+							B4U62_00090	1278		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	20918	22195	+	AQZ88926.1			serine--tRNA ligase			B4U62_00090	1278	425	
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	22330	22422	+							B4U62_00095	93		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	22330	22422	+				tRNA-Ser			B4U62_00095	93		anticodon=TGA
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	22534	23187	-							B4U62_00100	654		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	22534	23187	-	AQZ88927.1			deoxyadenosine/deoxycytidine kinase			B4U62_00100	654	217	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	23184	23807	-							B4U62_00105	624		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	23184	23807	-	AQZ88928.1			deoxynucleoside kinase			B4U62_00105	624	207	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	23906	25189	-							B4U62_00110	1284		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	23906	25189	-	AQZ88929.1			germination protein			B4U62_00110	1284	427	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	25259	25804	-							B4U62_00115	546		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	25259	25804	-	AQZ88930.1			isochorismatase			B4U62_00115	546	181	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	25890	26375	+							B4U62_00120	486		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	25890	26375	+	AQZ88931.1			tRNA-specific adenosine deaminase			B4U62_00120	486	161	
gene	SRP_RNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	26458	26722	+					ffs		B4U62_00125	265		
ncRNA	SRP_RNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	26458	26722	+				signal recognition particle sRNA large type	ffs		B4U62_00125	265		
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	26852	28543	+							B4U62_00130	1692		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	26852	28543	+	AQZ88932.1			DNA polymerase III subunit gamma/tau			B4U62_00130	1692	563	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	28567	28890	+							B4U62_00135	324		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	28567	28890	+	AQZ88933.1			YbaB/EbfC family nucleoid-associated protein			B4U62_00135	324	107	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	28905	29501	+							B4U62_00140	597		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	28905	29501	+	AQZ88934.1			recombination protein RecR			B4U62_00140	597	198	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	29519	29743	+							B4U62_00145	225		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	29519	29743	+	AQZ88935.1			hypothetical protein			B4U62_00145	225	74	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	29810	30073	+							B4U62_00150	264		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	29810	30073	+	AQZ88936.1			sigma-K factor-processing regulatory protein BofA			B4U62_00150	264	87	
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	30317	31870	+							B4U62_00155	1554		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	30317	31870	+				16S ribosomal RNA			B4U62_00155	1554		
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	31969	32045	+							B4U62_00160	77		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	31969	32045	+				tRNA-Ile			B4U62_00160	77		anticodon=GAT
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	32057	32132	+							B4U62_00165	76		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	32057	32132	+				tRNA-Ala			B4U62_00165	76		anticodon=TGC
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	32213	35145	+							B4U62_00170	2933		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	32213	35145	+				23S ribosomal RNA			B4U62_00170	2933		
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35274	35389	+					rrf		B4U62_00175	116		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35274	35389	+				5S ribosomal RNA	rrf		B4U62_00175	116		
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35568	35762	+							B4U62_00180	195		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35568	35762	+	AQZ88937.1			protein CsfB			B4U62_00180	195	64	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35882	36496	+							B4U62_00185	615		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	35882	36496	+	AQZ88938.1			protein xpaC			B4U62_00185	615	204	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	36515	37675	+							B4U62_00190	1161		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	36515	37675	+	AQZ88939.1			toxic anion resistance protein			B4U62_00190	1161	386	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	37757	39199	+							B4U62_00195	1443		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	37757	39199	+	AQZ88940.1			hypothetical protein			B4U62_00195	1443	480	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	39196	39834	+							B4U62_00200	639		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	39196	39834	+	AQZ88941.1			thymidylate kinase			B4U62_00200	639	212	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	39908	40237	+							B4U62_00205	330		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	39908	40237	+	AQZ88942.1			hypothetical protein			B4U62_00205	330	109	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	40250	40690	+							B4U62_00210	441		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	40250	40690	+	AQZ88943.1			hypothetical protein			B4U62_00210	441	146	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	40702	41691	+							B4U62_00215	990		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	40702	41691	+	AQZ88944.1			DNA polymerase III subunit delta'			B4U62_00215	990	329	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	41694	42521	+							B4U62_00220	828		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	41694	42521	+	AQZ88945.1			stage 0 sporulation protein YaaT			B4U62_00220	828	275	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	42536	42895	+							B4U62_00225	360		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	42536	42895	+	AQZ88946.1			initiation-control protein YabA			B4U62_00225	360	119	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	42954	43697	+							B4U62_00230	744		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	42954	43697	+	AQZ88947.1			SAM-dependent methyltransferase			B4U62_00230	744	247	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	43684	43983	+							B4U62_00235	300		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	43684	43983	+	AQZ88948.1			hypothetical protein			B4U62_00235	300	99	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	43958	44836	+							B4U62_00240	879		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	43958	44836	+	AQZ88949.1			rRNA (cytidine-2'-O-)-methyltransferase			B4U62_00240	879	292	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	44885	45175	-							B4U62_00245	291		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	44885	45175	-	AQZ88950.1			transition state regulatory protein AbrB			B4U62_00245	291	96	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	45670	47664	+							B4U62_00250	1995		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	45670	47664	+	AQZ88951.1			methionine--tRNA ligase			B4U62_00250	1995	664	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	47743	48510	+							B4U62_00255	768		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	47743	48510	+	AQZ88952.1			hydrolase TatD			B4U62_00255	768	255	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	48666	49979	+							B4U62_00260	1314		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	48666	49979	+	AQZ88953.1			hypothetical protein			B4U62_00260	1314	437	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	50124	50684	+							B4U62_00265	561		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	50124	50684	+	AQZ88954.1			ribonuclease M5			B4U62_00265	561	186	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	50677	51555	+							B4U62_00270	879		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	50677	51555	+	AQZ88955.1			ribosomal RNA small subunit methyltransferase A			B4U62_00270	879	292	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	51717	52589	+							B4U62_00275	873		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	51717	52589	+	AQZ88956.1			sporulation-specific protease YabG			B4U62_00275	873	290	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	52800	53060	+							B4U62_00280	261		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	52800	53060	+	AQZ88957.1			protein Veg			B4U62_00280	261	86	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	53220	53405	+							B4U62_00285	186		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	53220	53405	+	AQZ88958.1			protein sspF			B4U62_00285	186	61	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	53553	54422	+							B4U62_00290	870		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	53553	54422	+	AQZ88959.1			4-diphosphocytidyl-2C-methyl-D-erythritol kinase			B4U62_00290	870	289	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	54478	55335	+							B4U62_00295	858		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	54478	55335	+	AQZ88960.1			pur operon repressor			B4U62_00295	858	285	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	55332	55709	+							B4U62_00300	378		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	55332	55709	+	AQZ88961.1			RidA family protein			B4U62_00300	378	125	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	55903	56196	+							B4U62_00305	294		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	55903	56196	+	AQZ88962.1			septation protein spoVG			B4U62_00305	294	97	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	56389	57759	+							B4U62_00310	1371		
