Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS01025, WP_003234986.1, , 1199.0, 13, 0.26, 7.79, 40.4397
B4U62_RS01230, WP_003234898.1, skfF, 1104.7, 10, 0.24, 6.50, 29.7148
B4U62_RS12450, WP_003230542.1, , 612.7, 8, 0.13, 9.38, 26.9531
B4U62_RS09525, WP_003245299.1, , 628.3, 5, 0.13, 5.71, 14.9188
B4U62_RS14285, WP_003229890.1, , 657.7, 5, 0.14, 5.46, 14.6954
B4U62_RS14390, WP_003229873.1, , 834.0, 5, 0.18, 4.30, 13.5393
B4U62_RS19005, WP_009969914.1, , 776.7, 5, 0.17, 4.62, 13.885
B4U62_RS19405, WP_003244057.1, alsS, 1419.0, 5, 0.30, 2.53, 10.986
B4U62_RS21610, WP_003243164.1, rlmH, 454.7, 5, 0.10, 7.90, 16.5047
B4U62_RS22480, WP_020846153.1, , 2813.7, 5, 0.60, 1.28, 7.8098
B4U62_RS03535, WP_003234045.1, , 2055.0, 4, 0.44, 1.40, 6.80339
B4U62_RS15770, WP_004398641.1, , 1129.3, 4, 0.24, 2.54, 9.04106
B4U62_RS17655, WP_003151872.1, , 653.3, 4, 0.14, 4.40, 11.1491
B4U62_RS02515, WP_003246542.1, , 406.7, 3, 0.09, 5.30, 9.17336
B4U62_RS03140, WP_003244477.1, , 794.3, 3, 0.17, 2.71, 7.22717
B4U62_RS04505, WP_003243992.1, , 867.7, 3, 0.19, 2.48, 6.97372
B4U62_RS07700, WP_003245627.1, , 636.7, 3, 0.14, 3.38, 7.8655
B4U62_RS08320, WP_003221402.1, mraZ, 444.3, 3, 0.10, 4.85, 8.91411
B4U62_RS12375, WP_003230571.1, , 600.3, 3, 0.13, 3.59, 8.03628
B4U62_RS12735, WP_003230447.1, , 636.3, 3, 0.14, 3.39, 7.86732
B4U62_RS15845, WP_004398521.1, , 693.3, 3, 0.15, 3.11, 7.61905
B4U62_RS19435, WP_010886627.1, , 526.0, 3, 0.11, 4.10, 8.42078
B4U62_RS20225, WP_003242889.1, , 428.3, 3, 0.09, 5.03, 9.02157
B4U62_RS20800, WP_009969153.1, , 689.0, 3, 0.15, 3.13, 7.63702
